instance_id,instance_size,algorithm_id,tour_length,runtime
37,7,3,2035.940584788328,0.07499999992433004
37,7,4,2035.9405847883277,0.42500000199652277
37,7,5,2035.575418525148,2.7449999979580753
37,7,6,2035.575418525148,116.76000000079512
38,7,0,2848.6033634920545,0.2950000016426202
38,7,1,2848.603363492056,0.2300000014656689
38,7,2,2945.21674522874,0.1249999986612238
38,7,3,2937.8693071003563,0.07499999992433004
38,7,4,2978.22316483391,0.6649999995715916
38,7,5,2848.603363492055,3.1999999991967343
38,7,6,2848.6033634920545,64.94499999826076
39,7,0,2188.3242198035696,0.29999999969732016
39,7,1,2188.3242198035723,0.380000001314329
39,7,2,2411.2805594812953,0.12000000060652383
39,7,3,2547.6369740333553,0.07499999992433004
39,7,4,2336.9401246655975,1.1599999997997656
39,7,5,2188.32421980357,2.8149999998277053
39,7,6,2188.3242198035696,2.4200000007112976
40,7,0,2434.7932982421435,0.2950000016426202
40,7,1,2434.7932982421485,0.24499999926774763
40,7,2,2727.963099300085,0.11499999891384505
40,7,3,2727.963099300085,0.06999999823165126
40,7,4,2727.963099300085,0.3550000001268927
40,7,5,2434.7932982421435,2.564999998867279
40,7,6,2434.7932982421435,19.75499999753083
41,7,0,2247.3501876264886,0.30499999775202014
41,7,1,2247.3501876264886,0.34500000037951395
41,7,2,2354.3009854142556,0.11999999696854502
41,7,3,2465.2097135057334,0.07499999992433004
41,7,4,2354.3009854142556,0.6600000015168916
41,7,5,2247.3501876264886,3.864999998768326
41,7,6,2247.3501876264886,4.1049999999813735
42,7,0,2853.599208724685,0.2950000016426202
42,7,1,2853.599208724687,0.26500000240048394
42,7,2,2853.599208724686,0.12000000060652383
42,7,3,3277.1290190741865,0.07499999992433004
42,7,4,2947.0153044314056,0.6199999988893978
42,7,5,2853.5992087246855,2.4950000006356277
42,7,6,2853.5992087246855,83.06499999889638
43,7,0,2302.030837881591,0.29999999969732016
43,7,1,2302.03083788159,0.2300000014656689
43,7,2,2756.4550865403103,0.12000000060652383
43,7,3,2864.5620838141954,0.07499999992433004
43,7,4,2656.455139028397,0.6799999973736703
43,7,5,2302.0308378815917,2.3849999997764826
43,7,6,2302.0308378815917,62.395000000833534
44,7,0,2188.587910213935,0.30500000138999894
44,7,1,2188.5879102139315,0.2500000009604264
44,7,2,2188.587910213935,0.1249999986612238
44,7,3,2188.587910213935,0.06999999823165126
44,7,4,2188.587910213935,0.40500000250176527
44,7,5,2188.5879102139356,3.1950000011420343
44,7,6,2188.5879102139356,64.40999999904307
45,7,0,2981.1336195357826,0.2949999980046414
45,7,1,2981.1336195357853,0.20500000027823262
45,7,2,2981.133619535783,0.11500000255182385
45,7,3,2981.133619535783,0.07000000186963007
45,7,4,2981.133619535783,0.6700000012642704
45,7,5,2981.133619535783,2.4650000013934914
45,7,6,2981.133619535783,9.255000000848668
46,7,0,2457.4247099702065,0.29999999969732016
46,7,1,2457.4247099702106,0.34500000037951395
46,7,2,2521.536274549673,0.11499999891384505
46,7,3,2721.733246361415,0.07499999992433004
46,7,4,2636.2284658646518,0.6250000005820766
46,7,5,2457.424709970207,2.4300000004586764
46,7,6,2457.424709970207,151.24000000287197
47,7,0,1600.8779117715515,0.29999999969732016
47,7,1,1600.8779117715515,0.20000000222353265
47,7,2,1791.899067027613,0.11000000085914508
47,7,3,1600.8779117715517,0.08000000161700882
