instance_id,instance_size,min_span_tree_weight,algorithm_id,tour_length,runtime
122,6,1174.604666384986,3,1987.6606300184862,0.039999838918447495
100,6,1859.5583032986785,3,3087.307472846602,0.0350000336766243
101,6,927.5272883353816,3,1735.5837676069589,0.0350000336766243
109,6,1511.9547528925634,3,2496.680603066103,0.0350000336766243
110,6,1398.1023093473846,3,2325.134399222085,0.0350000336766243
112,6,1582.6643857645358,0,2396.4916456074207,0.0350000336766243
113,6,1383.1048838821623,3,2558.977735578876,0.0350000336766243
115,6,1858.4780981839722,0,2542.404697846991,0.0350000336766243
116,6,1305.094030254039,1,2209.7553414463728,0.0350000336766243
117,6,1399.5752815840424,3,2145.664418349885,0.0350000336766243
119,6,2159.622884786166,3,3596.925697746595,0.0350000336766243
120,6,1554.9766686566595,0,2594.455361463726,0.0350000336766243
121,6,1481.1126444130568,3,2657.4179390053523,0.0350000336766243
132,6,1337.5332146712537,3,2256.6064335755973,0.0350000336766243
133,6,1599.9843015206852,3,2853.423340728945,0.0350000336766243
137,6,1017.8575657436363,1,1631.3755522404506,0.0350000336766243
138,6,1662.6518947070176,1,2405.734708048072,0.0350000336766243
143,6,954.4848007627374,3,1783.4902348535516,0.0350000336766243
100,6,1859.5583032986785,0,2685.0195701966695,0.0300002284348011
101,6,927.5272883353816,0,1668.2330328790565,0.0300002284348011
102,6,1353.1700045235325,0,2447.8009925738434,0.0300002284348011
104,6,1213.876528670971,0,1902.9701362454425,0.0300002284348011
105,6,1456.9378634344548,0,2271.9598491912893,0.0300002284348011
114,6,1604.4828056312322,3,2290.958615832927,0.0300002284348011
120,6,1554.9766686566595,3,2721.3876763963517,0.0300002284348011
121,6,1481.1126444130568,0,2593.5458898742854,0.0300002284348011
123,6,1598.3832133569906,0,2376.021650562037,0.0300002284348011
124,6,1189.8681062157925,0,2064.463308168094,0.0300002284348011
124,6,1189.8681062157925,3,2088.4414755770904,0.0300002284348011
125,6,1279.4278726308407,3,2252.109980313009,0.0300002284348011
127,6,1532.2312521672497,0,2338.1146184182226,0.0300002284348011
127,6,1532.2312521672497,1,2338.114618418222,0.0300002284348011
127,6,1532.2312521672497,3,2338.1146184182226,0.0300002284348011
128,6,1714.3232077764071,0,2279.168319289289,0.0300002284348011
128,6,1714.3232077764071,3,2787.4942744988607,0.0300002284348011
129,6,1985.6327280912244,3,3117.2501737175526,0.0300002284348011
133,6,1599.9843015206852,1,2784.259790750641,0.0300002284348011
135,6,1369.2907639030846,3,2522.1761245838206,0.0300002284348011
136,6,1249.4125520029336,1,1904.0414154836726,0.0300002284348011
137,6,1017.8575657436363,3,1786.2697424415846,0.0300002284348011
143,6,954.4848007627374,1,1635.0863289935728,0.0300002284348011
147,6,1426.7540768145145,0,2154.445217724977,0.0300002284348011
100,6,1859.5583032986785,1,2685.0195701966713,0.029999762773513794
103,6,1496.6154953995988,0,2685.272300368972,0.029999762773513794
105,6,1456.9378634344548,1,2271.95984919129,0.029999762773513794
